Latitude,Longitude,ValidDate,AQI,PM2.5,PM10,O3,NO2,CO,SO2
34.1795,-93.0988,09-01-25,31,6.8,17,19,5.1,0.2,0.2
35.197156,-90.193178,09-01-25,192,11.8,17,30,5.1,0.2,0.2
35.83265,-93.208081,09-01-25,51,6.8,17,49,5.1,0.2,0.2
34.454439,-94.14334,09-01-25,55,6.8,17,45,5.1,0.2,0.2
34.756058,-92.281034,09-01-25,53,4.9,17,23,5.1,0.2,0.2
34.835603,-92.260456,09-01-25,52,6.8,17,52,5.1,0.2,0.2
34.681156,-92.328501,09-01-25,12,12.2,17,24,5.1,0.2,0.2
33.220403,-92.672089,09-01-25,122,6.8,17,24,5.1,0.2,0.2
36.179705,-94.11663,09-01-25,41,18,17,20,5.1,0.2,0.2
36.01167,-94.167491,09-01-25,57,6.8,17,12,5.1,0.2,0.2
40.16515,44.48171,09-01-25,77,6.8,17,24,5.1,0.2,0.2
37.687526,-121.784217,09-01-25,63,6.8,17,24,5.1,0.2,0.2
37.743061,-122.169907,09-01-25,19,15,17,13,9.8,0.3,0.2
37.8148,-122.282402,09-01-25,23,6.8,17,24,5.1,0.2,0.2
37.793624,-122.263376,09-01-25,48,10,17,24,6.9,0.3,0.2
37.864767,-122.302741,09-01-25,18,13,17,16,7,0.5,0.2
37.701222,-121.903019,09-01-25,17,5,17,24,11.9,0.5,0.2
37.535599,-121.9608,09-01-25,18,6.8,17,24,5.1,0.2,0.2
37.6547,-122.0317,09-01-25,47,6.8,17,28,5.1,0.2,0.2
37.8778,-122.310303,09-01-25,31,6.8,17,24,5.1,0.2,0.2
37.689615,-121.631916,09-01-25,41,6.8,17,24,5.1,0.2,0.2
38.342606,-120.764426,09-01-25,35,6.8,17,44,5.1,0.2,0.2
39.7575,-121.8422,09-01-25,52,6.8,17,24,5.1,0.2,0.2
39.708454,-121.617309,09-01-25,95,6.8,17,24,5.1,0.2,0.2
39.76168,-121.84047,09-01-25,44,6.2,24,28,9.3,0.2,0.2
39.7539,-121.6244,09-01-25,75,6.8,17,24,5.1,0.2,0.2
39.77919,-121.59135,09-01-25,67,6.8,17,24,5.1,0.2,0.2
39.32756,-121.66881,09-01-25,52,15,17,24,5.1,0.2,0.2
38.20185,-120.680277,09-01-25,6,3,17,51,5.1,0.2,0.2
39.015,-122.286111,09-01-25,71,6.8,17,24,5.1,0.2,0.2
39.18919,-121.99887,09-01-25,19,9.7,42,27,5.1,0.2,0.2
37.9383,-122.025,09-01-25,31,3,17,37,3.6,0.4,0.3
37.9478,-122.3636,09-01-25,38,6.8,17,24,5.1,0.2,0.2
37.9386,-122.0247,09-01-25,25,3,17,26.5,3.6,0.4,0.3
38.006311,-121.641918,09-01-25,51,6.8,17,36,1.9,0.3,2
37.9604,-122.3571,09-01-25,63,11,17,19,6.3,0.3,0.4
37.743649,-121.934188,09-01-25,9,6.8,17,24,5.1,0.2,0.2
38.72528,-120.82192,09-01-25,21,6.8,17,24,5.1,0.2,0.2
38.94498,-119.97061,09-01-25,64,6.8,15,24,5.1,0.2,0.2
38.81161,-120.03308,09-01-25,22,6.8,17,24,5.1,0.2,0.2
38.89094,-121.00337,09-01-25,203,6.8,17,27,5.1,0.2,0.2
36.7056,-119.7414,09-01-25,113,6.8,46,42,10.8,0.2,0.2
